geoname_id,locale_code,continent_code,continent_name,country_name,city_name,is_in_european_union,ua_city_name
613273,en,EU,Europe,Ukraine,Lebedyn,0,
616743,en,EU,Europe,Ukraine,Druzhkivka,0,
618835,en,EU,Europe,Ukraine,Zhydachiv,0,
686762,en,EU,Europe,Ukraine,Ivano-Frankove,0,
686803,en,EU,Europe,Ukraine,Zvenihorodka,0,
686820,en,EU,Europe,Ukraine,Zubra,0,
686852,en,EU,Europe,Ukraine,Zorynsk,0,
686872,en,EU,Europe,Ukraine,Zolotonoshka,0,
686875,en,EU,Europe,Ukraine,Zolotonosha,0,Золотоноша
686895,en,EU,Europe,Ukraine,Zolochiv,0,Золочів
686896,en,EU,Europe,Ukraine,Zolochiv,0,Золочів
686919,en,EU,Europe,Ukraine,Znamianka,0,Знам'янка
686928,en,EU,Europe,Ukraine,Zmiyiv,0,
686967,en,EU,Europe,Ukraine,Zhytomyr,0,Житомир
687058,en,EU,Europe,Ukraine,Kryzhanivka,0,
687068,en,EU,Europe,Ukraine,Lyman,0,
687093,en,EU,Europe,Ukraine,Zhovkva,0,Жовква
687116,en,EU,Europe,Ukraine,Zhmerynka,0,Жмеринка
687183,en,EU,Europe,Ukraine,Zhenyshkivtsi,0,
687196,en,EU,Europe,Ukraine,Zhovti Vody,0,
687234,en,EU,Europe,Ukraine,Viitivtsi,0,
687245,en,EU,Europe,Ukraine,Zhashkiv,0,
687277,en,EU,Europe,Ukraine,Zhurivka,0,
687292,en,EU,Europe,Ukraine,Zinkiv,0,
687392,en,EU,Europe,Ukraine,Zelenodolsk,0,
687432,en,EU,Europe,Ukraine,Zdolbuniv,0,
687449,en,EU,Europe,Ukraine,Zboriv,0,
687455,en,EU,Europe,Ukraine,Zbarazh,0,
687457,en,EU,Europe,Ukraine,Zazymia,0,
687510,en,EU,Europe,Ukraine,Zavydovo,0,
687552,en,EU,Europe,Ukraine,Zaturtsi,0,
687571,en,EU,Europe,Ukraine,Zastavtsi,0,
687578,en,EU,Europe,Ukraine,Zastavna,0,
687643,en,EU,Europe,Ukraine,Zarichchia,0,
687700,en,EU,Europe,Ukraine,Zaporizhzhya,0,
687826,en,EU,Europe,Ukraine,Zalishchyky,0,
687993,en,EU,Europe,Ukraine,Pivdenne,0,
687997,en,EU,Europe,Ukraine,Yuzhne,0,
688105,en,EU,Europe,Ukraine,Yevpatoriya,0,
688148,en,EU,Europe,Ukraine,Yenakiieve,0,
688154,en,EU,Europe,Ukraine,Yemilchyne,0,
688202,en,EU,Europe,Ukraine,Olenivka,0,
688288,en,EU,Europe,Ukraine,Yavoriv,0,
688365,en,EU,Europe,Ukraine,Yasinya,0,
688373,en,EU,Europe,Ukraine,Yasynuvata,0,
688441,en,EU,Europe,Ukraine,Yarmolyntsi,0,
688533,en,EU,Europe,Ukraine,Yalta,0,
688587,en,EU,Europe,Ukraine,Yahotyn,0,Яготин
688640,en,EU,Europe,Ukraine,Yablunets,0,
688717,en,EU,Europe,Ukraine,Vyshkovo,0,
688723,en,EU,Europe,Ukraine,Vyshhorod,0,Вишгород
688746,en,EU,Europe,Ukraine,Vynohradiv,0,Виноградів
688860,en,EU,Europe,Ukraine,Voznesensk,0,Вознесенськ
688956,en,EU,Europe,Ukraine,Vorzel',0,
688962,en,EU,Europe,Ukraine,Vorozhba,0,
688975,en,EU,Europe,Ukraine,Pokrovske,0,
689003,en,EU,Europe,Ukraine,Voronovytsya,0,
689106,en,EU,Europe,Ukraine,Volovets,0,
689156,en,EU,Europe,Ukraine,Levkovychi,0,
689159,en,EU,Europe,Ukraine,Volochysk,0,
689197,en,EU,Europe,Ukraine,Vodiane,0,
689198,en,EU,Europe,Ukraine,Volnovakha,0,
689200,en,EU,Europe,Ukraine,Vilnohirsk,0,
689304,en,EU,Europe,Ukraine,Vovchans'k,0,
689363,en,EU,Europe,Ukraine,Vlasivka,0,
689378,en,EU,Europe,Ukraine,Volodymyr,0,Володимир
689428,en,EU,Europe,Ukraine,Volodymyrets,0,
689434,en,EU,Europe,Ukraine,Vyzhnytsya,0,
689452,en,EU,Europe,Ukraine,Vytylivka,0,
689456,en,EU,Europe,Ukraine,Vita-Poshtova,0,
689487,en,EU,Europe,Ukraine,Vyshneve,0,Вишневе
689491,en,EU,Europe,Ukraine,Vyshneve,0,Вишневе
689510,en,EU,Europe,Ukraine,Vishenki,0,
689558,en,EU,Europe,Ukraine,Vinnytsia,0,Вінниця
689564,en,EU,Europe,Ukraine,Vynnyky,0,Винники
689565,en,EU,Europe,Ukraine,Vynnyky,0,Винники
689779,en,EU,Europe,Ukraine,Vertiyevka,0,
689808,en,EU,Europe,Ukraine,Verkhivtseve,0,
689817,en,EU,Europe,Ukraine,Verkhovyna,0,
689855,en,EU,Europe,Ukraine,Verkhnia,0,
689916,en,EU,Europe,Ukraine,Verkhnodniprovsk,0,Верхньодніпровськ
690134,en,EU,Europe,Ukraine,Velykyi Khutir,0,
690166,en,EU,Europe,Ukraine,Velyki Komiaty,0,
690184,en,EU,Europe,Ukraine,Velyki Birky,0,
690197,en,EU,Europe,Ukraine,Velykyi Bereznyi,0,
690232,en,EU,Europe,Ukraine,Velyka Palad,0,
690266,en,EU,Europe,Ukraine,Velyka Dymerka,0,
690279,en,EU,Europe,Ukraine,Velyka Berezovytsya,0,
690285,en,EU,Europe,Ukraine,Velyka Bahachka,0,
690312,en,EU,Europe,Ukraine,Vatutine,0,
690411,en,EU,Europe,Ukraine,Vasyl'kivka,0,
690412,en,EU,Europe,Ukraine,Vasylkiv,0,Васильків
690469,en,EU,Europe,Ukraine,Varva,0,
690545,en,EU,Europe,Ukraine,Uzyn,0,
690548,en,EU,Europe,Ukraine,Uzhhorod,0,Ужгород
